All 16 evidence intents have been recorded and finished successfully, producing the following hash-bound citation candidates:

**Summary of MAC-010 evidence ledger entries (all persisted):**

| Draft | Evidence ID | Locator | Question IDs | Claim Type |
|---|---|---|---|---|
| D0001 | EF-E7fcfed787f17 | page 10 S00004-S00007 | 5B.3, 5B.9 | observed_fact |
| D0002 | EF-E2ee8e5760278 | page 10 S00007-S00008 | 5B.3, 5B.9 | source_assertion |
| D0003 | EF-Ed9646dc323e6 | page 10 S00008-S00010 | 5B.3, 5B.9 | source_assertion |
| D0004 | EF-E94e834669774 | page 10 S00008-S00010 | 5B.3, 5B.9 | source_assertion |
| D0005 | EF-E93808d08db7d | page 100 S00001-S00005 | 5B.7 | source_assertion |
| D0006 | EF-E08b63bb116dd | page 100 S00006-S00009 | 5B.7 | source_assertion |
| D0007 | EF-E5b55efe85151 | page 100 S00010-S00011 | 5B.7 | observed_fact |
| D0008 | EF-E56af341171c4 | page 100 S00011-S00014 | 5B.7 | source_assertion |
| D0009 | EF-Ed9ab89bce1a4 | page 100 S00015-S00017 | 5B.7, 5B.3 | source_assertion |
| D0010 | EF-E1d4ed44c4926 | page 101 S00001-S00003 | 5B.7, 5B.3 | recommendation |
| D0011 | EF-Ee30c91d167dc | page 101 S00003-S00004 | 5B.7, 5B.3 | source_assertion |
| D0012 | EF-E0ea85da807f9 | page 101 S00005-S00008 | 5B.7 | observed_fact |
| D0013 | EF-Ea10b1d83f0f6 | page 101 S00009-S00011 | 5B.7 | observed_fact |
| D0014 | EF-Eab1e8b63dbb3 | page 101 S00012-S00014 | 5B.7, 5B.3 | source_assertion |
| D0015 | EF-E2b7969b85779 | page 101 S00015-S00019 | 5B.7, 5B.3 | source_assertion |
| D0016 | EF-E2e447e18889f | page 102 S00001-S00003 | 5B.7 | observed_fact |

All intents use only contiguous segment ranges verified against the source excerpts returned by the citation CLI. The D0003 intent was intentionally narrowed in D0004 to remove an unsupported US-comparison claim that could not be verified within the exact segment range. Each intent preserves actor, action, mechanism, outcome, dates, quantities, attribution, period fit, source limitations, polarity, and applicable chapter 5B question IDs.
