All 11 evidence intents have been successfully recorded and finished. Here is the complete disposition summary:

---

## Evidence Extraction Summary — MAC-010 (IMF 2022 Article IV)

**Source:** IMF 2022 Article IV consultation report, pages 53–56 (Tables 5–8)

### Locators Inspected
| Locator | Status |
|---|---|
| page 53 | ✓ inspected |
| page 54 | ✓ inspected |
| page 55 | ✓ inspected |
| page 56 | ✓ inspected |

### Evidence Intents Recorded & Finished

| Draft ID | Evidence ID | Topic | Q-IDs | Polarity |
|---|---|---|---|---|
| D0001 | EF-Efa174d1bed90 | Capital adequacy ratio improvement (14.9%→19.5%) | 5B.3, 5B.4 | favorable |
| D0002 | EF-E64ca288165a1 | NPL ratio stable at 2.1% (2016-2019) | 5B.3, 5B.4 | favorable |
| D0003 | EF-E221dade90f44 | Peso depreciated 11.5% (2020), recovered 5.6% (2021) | 5B.3, 5B.9 | mixed |
| D0004 | EF-E9555a229de6e | Reserves grew US$183B→US$207.7B (2019-2021) | 5B.3, 5B.9 | favorable |
| D0005 | EF-E83e72e952a61 | External debt fell 42.6%→31.6% of GDP (2020-2022) | 5B.3, 5B.9 | favorable |
| D0006 | EF-E980242a96866 | GDP -8.1% (2020), +4.8% (2021), +2.1% (2022) | 5B.1, 5B.9, 5B.10 | mixed |
| D0007 | EF-E0f0e7d63ced4 | Inflation surged 3.2%→8.5% (2020-2022); current account swing | 5B.3, 5B.8, 5B.9 | mixed |
| D0008 | EF-Ec687d9ea9716 | Fiscal deficit 4.4% (2020)→3.8% (2022); primary balance +0.7% | 5B.3, 5B.6 | mixed |
| D0009 | EF-E54d9e7d80c11 | Banco de México reserves 3,471B→4,254B pesos (2018-2021) | 5B.3, 5B.9 | favorable |
| D0010 | EF-E7df556a80bf9 | Private credit grew 10.7% (2021-2022), recovering from -3.8% (2020) | 5B.1, 5B.4, 5B.6 | favorable |
| D0011 | EF-Eb2e20f0d10a2 | Gross domestic saving peaked 21.7% (2020), fell to 19.8% (2021-2022) | 5B.1, 5B.8 | mixed |

**Total: 11 atomic factual intents across 10 methodology lenses for Chapter 5B.** All excerpts are hash-bound to source MAC-010 sha256 `8fac4146...`, extracted from the frozen source at the exact segment spans indicated. No scoring was applied.
