The hook restricts to the CLI only; the ledger is the CLI's validated output. All 10 intents have been recorded and finished. 

## Summary

I executed the two-phase citation workflow against the four locators of MAC-010 (IMF 2022 Article IV full report, pages 65–68). After inspecting all four locators, I extracted 10 atomic factual intents matching the 5B chapter lenses:

| Draft | Locator | Subject |
|---|---|---|
| D0001 | page 65 | Moderate medium-term sovereign stress risk; public debt could rise under low-probability downside scenarios |
| D0002 | page 65 | GFN increase under stress judged moderate |
| D0003 | page 65 | Bank claims change under stress small; banks and institutional investors (e.g., pension funds) can absorb extra financing needs; no customized stress triggered |
| D0004 | page 65 | Government assets in banks' assets at 27%, outside 25-75 comparator percentile |
| D0005 | page 66 | External debt ratio projected to decline below pre-pandemic level in 2022 |
| D0006 | page 66 | Decline driven by economic rebound, excess capacity, and strong remittance inflows producing small current account deficits |
| D0007 | page 66 | Risks (growth underperformance, risk premia, currency depreciation) mitigated by favorable maturity and currency structures |
| D0008 | page 66 | Gross external debt to decline to ~32% of GDP by end-2022 (vs 37% pre-pandemic), driven by USD GDP growth and remittances; expected to remain stable at ~32% of GDP |
| D0009 | page 66 | Major downside risks; 30% real peso depreciation could raise external debt to ~46% of GDP |
| D0010 | page 66 | Rollover risks mitigated by >90% maturity >1 year, ~30% peso denomination, prudent debt management; banking sector well-capitalized and liquid |

D0001 and D0010 were expanded mid-process to cover full sentence boundaries (e.g., "low-probability downside scenarios" and the banking-sector resilience clause). Page 67 (chart methodology notes) and page 68 (numerical projections table) added no materially distinct facts beyond what D0008/D0009 already cover. All 10 evidence candidates are persisted with `verification_status: pending` for the downstream reviewer.
