Extracted 7 intents from BOOK-013 (CIDOB political biography):

| Draft | Evidence ID | Period | Key Facts | 5B Questions |
|-------|-------------|--------|-----------|--------------|
| D0001 | EF-Edd97da60328f | Jan-Jul 2008 | Launched National Oil Defense Movement; 1M citizen energy consultation | 5B.1, 5B.3, 5B.4, 5B.5 |
| D0002 | EF-Ebcfd77044406 | Jul 2010 | Blamed Calderón for worst crisis; advocated ending fiscal privileges; identified 40% gasoline import dependency | 5B.1, 5B.3, 5B.8, 5B.9 |
| D0003 | EF-E59117e7f4816 | 2012 campaign | Promised 6% growth, 1.2M jobs/year, universal social coverage | 5B.1, 5B.2, 5B.6, 5B.8, 5B.9, 5B.10 |
| D0004 | EF-E89ca792385ac | 2012 campaign | Anti-corruption instruments; FOBAPROA/Pemex investigations; 10-point plan against monopolies and fiscal privileges | 5B.1, 5B.5, 5B.7, 5B.8 |
| D0005 | EF-Edc7e2a3ad583 | 2012 campaign | State ownership of Pemex; 3 refineries; reverse electrical privatizations; renewable energy | 5B.1, 5B.3, 5B.4, 5B.6, 5B.10 |
| D0006 | EF-E86c61bf5c7ab | 2018 campaign | Republican austerity; no tax increases; anti-corruption by example; energy self-sufficiency | 5B.1, 5B.2, 5B.6, 5B.7, 5B.9 |
| D0007 | EF-E85e3a005102f | 2008-2009 | Congress passed Calderón energy reform; López Obrador civil resistance failed; PRD lost 54 seats (12.2%) | 5B.3, 5B.4, 5B.5, 5B.10 |

All intents are pre-presidency campaign-era policy positions and opposition activities. Source limitations include political biography perspective bias and lack of implemented outcomes in this passage.
