All 14 drafts (D0001–D0014) have been recorded, the excerpts verified against each claim, and each proposal finalized to a hash-bound evidence candidate. Every entry in the citation ledger has been persisted with stable evidence IDs.

**Summary of ledger entries finalized:**

| Draft ID | Locator | Segment Range | Evidence ID |
|---|---|---|---|
| D0001 | page 18 | S00005–S00009 | EF-E9f8c07475ffc |
| D0002 | page 18 | S00010–S00012 | EF-E8a171221b3f7 |
| D0003 | page 19 | S00001–S00002 | EF-E4892acda1f6e |
| D0004 | page 19 | S00003–S00004 | EF-E23dc3ef0e4cc |
| D0005 | page 19 | S00005–S00006 | EF-Ef2045216a2cf |
| D0006 | page 19 | S00006–S00008 | EF-E48a16a8c525e |
| D0007 | page 19 | S00009–S00010 | EF-E05707205504b |
| D0008 | page 19 | S00010–S00011 | EF-E77a3f5a4e32d |
| D0009 | page 19 | S00013–S00015 | EF-Ec19a09bcd5e2 |
| D0010 | page 20 | S00014–S00017 | EF-E51f04d12e69c |
| D0011 | page 20 | S00009–S00010 | EF-Ed2c702fb8067 |
| D0012 | page 21 | S00001–S00004 | EF-Ea9137210528a |
| D0013 | page 21 | S00004–S00006 | EF-Eea92ec1f07c8 |
| D0014 | page 21 | S00009–S00011 | EF-E075f4fbf3c73 |

Each locator was inspected exactly once before extraction began; all 14 atomic factual intents span chapters 5B (with concentration on 5B.3 fiscal/macro stability, 5B.8 distributional fairness, 5B.9 shock response, and 5B.5 anti-corruption/procurement).
