All seven atomic intents have been persisted to the citation ledger. Here is a summary of what was extracted from BOOK-013 (CIDOB political biography) for chapter 5B (economic wellbeing) of AMLO 2022:

| Draft | Locator | Segments | Lens | Material fact |
|---|---|---|---|---|
| D0001 | Block 22 | S00001–S00008 | 5B.5 | March 2004 Televisa videoescándalo showed AMLO's close PRD allies receiving large cash sums and negotiating political favors with businessman Carlos Ahumada Kurtz |
| D0002 | Block 23 | S00006–S00011 | 5B.5, 5B.7 | AMLO was not institutionally endangered despite close allies being implicated; his rejection was described as late and lukewarm; he framed it as a conspiracy involving Salinas, Fernández de Cevallos, Fox's entourage, and the U.S. (Treasury/DEA) |
| D0003 | Block 23 | S00001–S00005 | 5B.5 | Courts opened fraud/money-laundering charges with arrest orders against the implicated politicians; PRD cut ties; Robles identified as mastermind and forced out; Leonel Godoy publicly apologized |
| D0004 | Block 25 | S00005–S00007 | 5B.2, 5B.6 | Fox dismissed DF Security Secretary Ebrard in November 2004 over the Tláhuac PFP lynching; AMLO protested but re-appointed Ebrard as DF Secretary of Social Development |
| D0005 | Block 25 | S00001–S00004 | 5B.1 | August 2004 march of 200,000 PRD supporters in the Zócalo; AMLO's October 2004 programmatic book expanding a 20-point platform from an August 29 march |
| D0006 | Block 24 | S00001–S00009 | 5B.4, 5B.5 | 18 May 2004 PGR desafuero request over the Cuajimalpa expropriation case tied to the Rosario Robles 2000 expropriation and a March 2001 definitive suspension order |
| D0007 | Block 25 | S00008–S00010 | 5B.4, 5B.7 | Spring 2005 immunity battle under Article 111, the Martin Luther King self-comparison and public mobilization against Fox and Salinas, and the 7 April 2005 first adverse ruling |

All seven intents carry explicit `period_fit: pre_tenure` because every fact comes from AMLO's DF Head-of-Government period (2000–2005), well before his 2018–2024 presidency. No scoring was performed, and every claim is supported verbatim by the copied excerpt.
