case_id,ruler_name,chapter_id,variant,prompt_characters,input_tokens,cached_input_tokens,noncached_input_tokens,output_tokens,web_search_events,output_characters,source_claim_records,valid_source_claim_records,distinct_urls,question_ids_present,forward_evaluator_score,reverse_evaluator_score,mean_evaluator_score
amlo-5b,Andrés Manuel López Obrador,5B,D,18567,540219,460032,80187,11196,16,43494,18,18,17,10,8.5,8.7,8.6
amlo-5b,Andrés Manuel López Obrador,5B,E,19326,270363,202752,67611,8203,10,33761,12,12,12,10,8.3,8.4,8.35
biden-6b,Joe Biden,6B,D,20528,371448,295680,75768,11147,14,44627,18,18,18,10,8.8,8.7,8.75
biden-6b,Joe Biden,6B,E,21287,995406,882688,112718,13288,24,49507,19,19,20,10,8.8,8.8,8.8
bolsonaro-7b,Jair Bolsonaro,7B,D,29323,1117436,976640,140796,12371,24,43978,16,16,17,10,8.8,8.8,8.8
bolsonaro-7b,Jair Bolsonaro,7B,E,30082,575229,477440,97789,9689,18,36589,11,11,11,10,8.0,8.1,8.05
hasina-4b,Sheikh Hasina,4B,D,24135,477905,391680,86225,11929,16,50249,18,18,11,10,8.8,8.7,8.75
hasina-4b,Sheikh Hasina,4B,E,24894,483158,391936,91222,10242,16,41688,13,13,10,10,8.3,8.4,8.35
nguyen-8b,Nguyễn Phú Trọng,8B,D,18937,234188,178432,55756,8883,10,35493,12,12,11,10,8.0,8.5,8.25
nguyen-8b,Nguyễn Phú Trọng,8B,E,19696,237066,185600,51466,9006,10,38189,12,12,12,10,8.6,8.7,8.65
putin-2b,Vladimir Putin,2B,D,16724,1102176,987904,114272,11897,28,43222,18,18,21,10,8.9,9.1,9.0
putin-2b,Vladimir Putin,2B,E,17483,584539,496896,87643,11327,20,41506,19,19,19,10,9.0,9.0,9.0
scholz-2b,Olaf Scholz,2B,D,20573,770157,661504,108653,12674,20,44458,20,20,15,10,8.8,8.7,8.75
scholz-2b,Olaf Scholz,2B,E,21332,2671047,2473472,197575,14038,48,43561,18,18,17,10,8.5,8.6,8.55
sisi-3b,Abdel Fattah el-Sisi,3B,D,20050,472812,392704,80108,10021,14,39061,15,15,12,10,8.7,8.8,8.75
sisi-3b,Abdel Fattah el-Sisi,3B,E,20809,462695,379392,83303,9879,16,39876,14,14,8,10,8.7,8.7,8.7
tshisekedi-2b,Félix Tshisekedi,2B,D,22011,630359,527360,102999,9819,18,37734,14,14,12,10,8.6,8.7,8.65
tshisekedi-2b,Félix Tshisekedi,2B,E,22770,377388,298752,78636,7901,14,30919,10,10,7,10,8.1,8.1,8.1
xi-1b,Xi Jinping,1B,D,22398,400245,328448,71797,8647,14,34576,14,14,13,10,8.1,8.8,8.45
xi-1b,Xi Jinping,1B,E,23157,485371,396800,88571,8637,16,32940,12,12,12,10,8.5,8.6,8.55
