All 8 evidence intents have been inspected, recorded, and finished. Each excerpt was verified to contain the supporting actor, action, dates, and quantities named in the claim. Summary of persisted evidence candidates:

| Draft | Evidence ID | Locator | Lens Coverage |
|-------|-------------|---------|---------------|
| D0001 | EF-E1e669b25422c | block 30 | 5B.5 |
| D0002 | EF-E2e5c225cf986 | block 30 | 5B.1, 5B.5, 5B.6 |
| D0003 | EF-E1339613b5baf | block 31 | 5B.1, 5B.6, 5B.8 |
| D0004 | EF-E83867b4c50c6 | block 31 | 5B.1, 5B.4 |
| D0005 | EF-E41bda7f6b3f0 | block 40 | 5B.3, 5B.4 |
| D0006 | EF-E0c62e1e3e044 | block 40 | 5B.4 |
| D0007 | EF-E80d5c28b3d5f | block 41 | 5B.3, 5B.4 |
| D0008 | EF-E7a3e7718053d | block 41 | 5B.1 |

Lenses 5B.2, 5B.7, 5B.9, and 5B.10 were not directly supported by these biography spans, which focus on AMLO's campaign platform, the 2008 energy-reform debate, and the PRD's electoral fortunes.
