All 11 evidence intents successfully recorded and finished. Summary:

| Draft | Evidence ID | Claim Summary | Q-IDs | Polarity |
|-------|-------------|---------------|-------|----------|
| D0001 | EF-Eed39eba07024 | INEGI conducts economic censuses every 5 years; disseminates annual/quarterly GDP statistics | 5B.7, 5B.3 | favorable |
| D0002 | EF-Eba23eebb429b | IMF 2021 ROSC assessed national accounts as high quality; improvements since 2015; further areas needed | 5B.7, 5B.3 | mixed |
| D0003 | EF-E44261980fa96 | CPI and PPI meet international standards; PPI covers 79.2% of Mexican production | 5B.3, 5B.7 | favorable |
| D0004 | EF-Ea599a71095b7 | Fiscal statistics comprehensive and timely except subnational; aligned with GFSM2014 | 5B.3, 5B.7 | favorable |
| D0005 | EF-E8e7695c68ce1 | Official debt excludes T-bonds to Banxico for liquidity; accounting practices differ between fed gov and Banxico | 5B.3, 5B.5 | adverse |
| D0006 | EF-Ed36a7c215cbe | Mexico reports 14 core + 9 encouraged FSIs for deposit takers to IMF monthly | 5B.3, 5B.7 | favorable |
| D0007 | EF-E4d166154f364 | FSI reporting temporarily interrupted after May 2021 for IFRS9 revision; interim old-standard FSIs on request | 5B.7, 5B.3 | mixed |
| D0008 | EF-E76913abaa2e0 | IMF 2021 ROSC found external sector statistics high quality; Banxico migrated to BPM6 in 2017 | 5B.3, 5B.7 | favorable |
| D0009 | EF-Ea3e06a6ad5e4 | Mexico not yet fully implemented EDS Guide 2013; issues with intercompany debt, market valuation, accrual interest | 5B.3, 5B.7 | adverse |
| D0010 | EF-E8e5596dbb933 | Consistency gaps between IIP and external debt; between BOP and national accounts, notably in financial account | 5B.3, 5B.7 | adverse |
| D0011 | EF-E5fd1b501c4a0 | Methodological foundations of monetary statistics generally sound; full coverage of Mexican financial system | 5B.3, 5B.7 | favorable |

**Source**: MAC-010 (IMF 2022 Article IV full report, IMF), locators `page 100` and `page 101`, covering IMF Statistical Issues assessment. All excerpts are hash-bound to source SHA256 `8fac4146590dbe2ed458f7356748f5880d021e03cc4982b1e7efe083d33f622a`.
