All 8 intents have been recorded, bound, and finished successfully. Here's the summary of persisted evidence candidates:

| Draft | Evidence ID | Locator | Segments | Question IDs | Claim Type |
|-------|-------------|---------|----------|--------------|------------|
| D0001 | EF-E5afe17747bd5 | extracted HTML block 6 | S00002–S00003 | 5B.3 | source_assertion |
| D0002 | EF-E5777e7a4ddb1 | extracted HTML block 6 | S00003–S00003 | 5B.4 | source_assertion |
| D0003 | EF-E8cad4afde7d3 | extracted HTML block 5 | S00003–S00003 | 5B.3 | source_assertion |
| D0004 | EF-Ec6ef6b619b83 | extracted HTML block 5 | S00006–S00006 | 5B.4 | source_assertion |
| D0005 | EF-E94df2f51d30e | extracted HTML block 5 | S00007–S00007 | 5B.5, 5B.7 | source_assertion |
| D0006 | EF-E046888a15805 | extracted HTML block 65 | S00005–S00006 | 5B.5, 5B.7 | observed_fact |
| D0007 | EF-E8a0e83da6c86 | extracted HTML block 6 | S00007–S00008 | 5B.1, 5B.7 | observed_fact |
| D0008 | EF-E91d798012255 | extracted HTML block 6 | S00003–S00004 | 5B.4 | source_assertion |

All excerpts were code-copied from the hash-bound frozen source. Each locator disposition (extracted HTML block 5, block 6, block 65) was inspected exactly once. No quotation text was authored in semantic fields. All intents are tagged with chapter 5B economic wellbeing lenses.
