All nine proposals have been finished and persisted to the validated citation ledger with hash-bound excerpts. Summary of intents recorded against BOOK-013 (CIDOB political biography of AMLO):

| Draft | Locator | Segments | Question IDs | Topic |
|-------|---------|----------|--------------|-------|
| D0001 | block 62 | S00006–S00008 | 5B.1, 5B.3 | Austeridad republicana (no tax hikes, no debt) |
| D0002 | block 62 | S00008–S00009 | 5B.8 | Min wage 171 pesos / 1,500-peso pensions |
| D0003 | block 62 | S00009–S00011 | 5B.1, 5B.3 | Energy self-sufficiency, Peña Nieto energy reform rollback, agricultural guaranteed prices |
| D0004 | block 63 | S00009–S00010 | 5B.3, 5B.4 | Free-market orthodoxy + Banxico autonomy + anti-neoliberalism (CIDOB characterization) |
| D0005 | block 63 | S00003 | 5B.5 | Morena anti-corruption intent from Los Pinos |
| D0006 | block 64 | S00002–S00003 | 5B.6, 5B.8 | Free Internet, Jóvenes Construyendo el Futuro, gender gap closure |
| D0007 | block 64 | S00003–S00004 | 5B.4, 5B.6 | Santa Lucía vs NAIM platform |
| D0008 | block 65 | S00006–S00008 | 5B.10 | INE final results 53.19% / 64.4% turnout, 1 July 2018 |
| D0009 | block 65 | S00005 | 5B.5, 5B.7 | Victory-speech no-corruption/no-impunity pledge |

Each draft was bound on the first attempt (no revisions needed). All locators were inspected exactly once each across the four `inspect` calls (block 62, 63, 64, 65). No semantic field contains quotation text; all claims were verified against the exact inclusive segment ranges returned by the citation tool.
