All 12 drafts have been recorded and finished, each producing a persisted evidence candidate with an exact code-copied excerpt. Each candidate passes through the source_sha256 check and is bound to its hash-bound frozen source.

Summary of what landed in the ledger:

| Draft | Evidence ID | Locator | Segments | Question lenses |
|---|---|---|---|---|
| D0001 | EF-E11c87d38d00f | block 42 | S00008 | 5B.1, 5B.7 |
| D0002 | EF-Ec9e5edae07eb | block 42 | S00009 | 5B.1, 5B.3, 5B.10 |
| D0003 | EF-E3425646c47d6 | block 40 | S00004–S00005 | 5B.1, 5B.3, 5B.4 |
| D0004 | EF-E2becf0e21003 | block 40 | S00006 | 5B.1, 5B.7, 5B.9 |
| D0005 | EF-E589c0cf9fce3 | block 42 | S00007 | 5B.7, 5B.9, 5B.10 |
| D0006 | EF-Eb827d0dcff7a | block 44 | S00009–S00010 | 5B.4, 5B.7, 5B.10 |
| D0007 | EF-E6d50b2a9c026 | block 35 | S00003–S00006 | 5B.4, 5B.7 |
| D0008 | EF-E90928a7d8147 | block 35 | S00007–S00010 | 5B.7, 5B.9 |
| D0009 | EF-E75972099294a | block 44 | S00004 | 5B.4, 5B.7 |
| D0010 | EF-Ec93bbe8aec29 | block 44 | S00005–S00007 | 5B.7, 5B.10 |
| D0011 | EF-E965f42575449 | block 40 | S00002–S00003 | 5B.3, 5B.10 |
| D0012 | EF-Ea7a595f399ea | block 35 | S00001–S00002 | 5B.4 |

All draft IDs are sequential (D0001…D0012). No locator is named twice across dispositions. Each intent's inclusive segment range was code-copied; the returned excerpt was verified to contain every named actor, action, date, quantity, attribution, qualifier, and outcome cited in the claim. No quotation text was authored in any semantic field.
