All 11 evidence candidates have been successfully recorded and finished with hash-bound persistence. Summary:

| Draft | Locator | Segments | Evidence ID | Question IDs |
|---|---|---|---|---|
| D0001 | block 46 | S00002-S00004 | EF-E93644e6a8c6b | 5B.1, 5B.5, 5B.7 |
| D0002 | block 46 | S00006-S00008 | EF-E6132db8b46ec | 5B.5, 5B.7 |
| D0003 | block 46 | S00009-S00011 | EF-Ea89568a86bc0 | 5B.1, 5B.4, 5B.5, 5B.8 |
| D0004 | block 47 | S00001-S00003 | EF-Eb89d0dbb71ec | 5B.3, 5B.6 |
| D0005 | block 47 | S00004-S00006 | EF-E65ac521cc5fb | 5B.3, 5B.4, 5B.8 |
| D0006 | block 47 | S00007-S00010 | EF-E7213f81f73a0 | 5B.7, 5B.9 |
| D0007 | block 48 | S00001-S00004 | EF-E39a19c95a175 | 5B.1, 5B.6, 5B.8, 5B.10 |
| D0008 | block 48 | S00005-S00007 | EF-E8791d86ae982 | 5B.4 |
| D0009 | block 59 | S00001-S00004 | EF-Ec231cafff1c6 | 5B.4 |
| D0010 | block 59 | S00004-S00008 | EF-E9f27d33cd54a | 5B.7 |
| D0011 | block 59 | S00009-S00012 | EF-Eccc80e78550f | 5B.5 |

All four assigned locators (extracted HTML blocks 46, 47, 48, 59) were inspected exactly once each, then 11 atomic factual intents were extracted with contiguous segment ranges that fully support each claim. No quotation text was authored in any semantic field, no scoring was performed, and all stored excerpts were verified to contain the named actors, actions, dates, quantities, and causal/qualifying language cited in each claim.
