case_id,ruler_name,chapter_id,variant,prompt_characters,prior_resources,input_tokens,cached_input_tokens,noncached_input_tokens,output_tokens,web_search_events,output_characters,source_claim_records,valid_source_claim_records,distinct_urls,question_ids_present,forward_evaluator_score,reverse_evaluator_score,mean_evaluator_score
amlo-5b,Andrés Manuel López Obrador,5B,A,9691,3,575027,489728,85299,7443,18,23850,12,12,23,10,8.6,8.8,8.7
amlo-5b,Andrés Manuel López Obrador,5B,D,18567,3,540219,460032,80187,11196,16,43494,18,18,17,10,8.2,8.7,8.45
biden-6b,Joe Biden,6B,A,11339,5,437033,365056,71977,6366,16,19709,8,8,20,10,8.5,8.6,8.55
biden-6b,Joe Biden,6B,D,20528,5,371448,295680,75768,11147,14,44627,18,18,18,10,8.6,9.0,8.8
bolsonaro-7b,Jair Bolsonaro,7B,A,19503,25,301763,240640,61123,6569,12,21800,10,10,24,10,8.2,8.4,8.3
bolsonaro-7b,Jair Bolsonaro,7B,D,29323,25,1117436,976640,140796,12371,24,43978,16,16,17,10,8.3,8.9,8.6
hasina-4b,Sheikh Hasina,4B,A,15287,15,414435,337408,77027,7486,14,26446,10,10,23,10,8.5,8.6,8.55
hasina-4b,Sheikh Hasina,4B,D,24135,15,477905,391680,86225,11929,16,50249,18,18,11,10,8.6,8.9,8.75
nguyen-8b,Nguyễn Phú Trọng,8B,A,11794,3,227966,174336,53630,6674,10,24413,11,11,21,10,8.2,8.6,8.4
nguyen-8b,Nguyễn Phú Trọng,8B,D,18937,3,234188,178432,55756,8883,10,35493,12,12,11,10,8.1,8.4,8.25
putin-2b,Vladimir Putin,2B,A,12236,9,508342,420608,87734,7795,16,28489,13,13,29,10,8.9,8.9,8.9
putin-2b,Vladimir Putin,2B,D,16724,9,1102176,987904,114272,11897,28,43222,18,18,21,10,8.9,9.2,9.05
scholz-2b,Olaf Scholz,2B,A,16085,17,402820,332544,70276,6857,14,23253,10,10,23,10,8.6,8.7,8.65
scholz-2b,Olaf Scholz,2B,D,20573,17,770157,661504,108653,12674,20,44458,20,20,15,10,8.8,9.0,8.9
sisi-3b,Abdel Fattah el-Sisi,3B,A,14509,11,707437,609792,97645,8093,20,24551,11,11,22,10,8.5,8.6,8.55
sisi-3b,Abdel Fattah el-Sisi,3B,D,20050,11,472812,392704,80108,10021,14,39061,15,15,12,10,8.8,8.8,8.8
tshisekedi-2b,Félix Tshisekedi,2B,A,17523,19,299487,231424,68063,6066,12,20867,8,7,23,10,8.5,8.7,8.6
tshisekedi-2b,Félix Tshisekedi,2B,D,22011,19,630359,527360,102999,9819,18,37734,14,14,12,10,8.7,8.8,8.75
xi-1b,Xi Jinping,1B,A,17511,19,300520,230656,69864,7717,12,29127,14,14,28,10,8.5,8.9,8.7
xi-1b,Xi Jinping,1B,D,22398,19,400245,328448,71797,8647,14,34576,14,14,13,10,8.6,8.9,8.75
