All seven evidence candidates were persisted successfully. The ledger now contains:

| Draft ID | Evidence ID | Locator | Segments | Question IDs |
|---|---|---|---|---|
| D0001 | EF-E8b2306087e52 | page 77 | S00001–S00006 | 5B.3 |
| D0002 | EF-E0ff28cab45f5 | page 78 | S00003–S00006 | 5B.4, 5B.9 |
| D0003 | EF-E70d9dc5be89a | page 78 | S00013–S00014 | 5B.4, 5B.9 |
| D0004 | EF-E5ef12f53b58f | page 79 | S00001–S00002 | 5B.7 |
| D0005 | EF-Ef87d8021d140 | page 80 | S00001–S00005 | 5B.3, 5B.9 |
| D0006 | EF-E79bd8274719c | page 80 | S00009–S00012 | 5B.3, 5B.8, 5B.9 |
| D0007 | EF-Eefc7e9e21959 | page 80 | S00006–S00008 | 5B.3, 5B.7 |

All four locators were inspected exactly once before any recording. Each draft used the narrowest contiguous segment range whose returned excerpt fully supports its claim, with no invented quotation text. The page-78 Annex VIII trade-diversion estimate and the page-79 causality caveat are recorded as separate non-contiguous intents (split per methodology rules). Verification status remains pending as expected for downstream review.
