All 11 evidence intents extracted from MAC-010 (IMF 2022 Article IV) have been recorded and finished. Here is the complete ledger summary:

| Draft | Evidence ID | Question | Claim Summary | Polarity |
|---|---|---|---|---|
| D0001 | EF-Ee6d3a9d748c2 | 5B.9 | Fuel pricing regime generated higher-than-budgeted subsidies in 2022H1 after Russia-Ukraine invasion | mixed |
| D0002 | EF-E37fd6aa351ab | 5B.9 | Mexican authorities brokered nonbinding agreement with food producers to stabilize prices of 24 items for six months | favorable |
| D0003 | EF-E607cb3ff2b4d | 5B.9 | Mexican authorities provided temporary tariff reduction on certain foods and took steps to reduce distribution costs and promote small-farmer production | favorable |
| D0004 | EF-E239684ba60ae | 5B.1 | PEMEX EBITDA earnings more than doubled to over USD 23 billion in 2022H1 vs. same period 2021 | favorable |
| D0005 | EF-Eebc4c7f5eb8d | 5B.3 | Mexico banking system capital adequacy ratio rose to over 19% from 16% pre-pandemic; large institutions maintain ample liquidity buffers | favorable |
| D0006 | EF-Ec1e77fcbaea3 | 5B.3 | Peso remained broadly stable against USD, supported by rising interest rate differential, strong fiscal fundamentals, monetary policy commitment to price stability, and remittances | favorable |
| D0007 | EF-Eb24df0368eb8 | 5B.3 | Mexico gross international reserves adequate at 125% ARA metric coverage (2022, after USD 12bn SDR allocation) | favorable |
| D0008 | EF-E45398542c4e9 | 5B.3 | Mexico sovereign risk spread on 10-year USD bonds widened less than peer sovereigns with similar ratings during 2022 | favorable |
| D0009 | EF-E333a60276681 | 5B.3 | Mexican government bought USD 7 billion in FX from the central bank after 2021 SDR allocation for FX debt amortization (period_fit: previous ruler period) | mixed |
| D0010 | EF-Ef1e65a33ce56 | 5B.3 | Moderate portfolio outflows from nonresident peso-bond sales were offset by strong domestic pension fund buying in 2022 | mixed |
| D0011 | EF-Eff21d32417ee | 5B.1, 5B.4 | Mexico private sector credit recovering; FX loans at nominal pre-pandemic levels, peso loans recovering, households led by public non-bank mortgage lending | favorable |

**Coverage summary:** MAC-010 delivers evidence across four of the ten 5B lenses — primarily 5B.3 (macroeconomic/fiscal/monetary rules, 6 intents) and 5B.9 (shock response, 3 intents), with secondary support for 5B.1 (economic trajectory, 2 intents) and 5B.4 (competition/credit access, 1 intent). No evidence was extracted for lenses 5B.2, 5B.5, 5B.6, 5B.7, 5B.8, or 5B.10 from this source. All excerpts were verified against the hash-bound frozen source. D0009 carries a period_fit flag noting it pertains to the prior ruler period (2021).
