All seven intents have been recorded, verified against the contiguous excerpt returned by the citation CLI, and finished (persisted). Summary of the validated ledger:

| Draft | Evidence ID | Locator | Segments | Claim |
|---|---|---|---|---|
| D0001 | EF-E170cfc59cffb | block 1 | S00005–S00010 | Acuerdo 173/2022 issuance identity, legal basis (Decrees of 27 Dec 2016 and 4 Mar 2022), signer |
| D0002 | EF-Ed8a8b3c457af | block 1 | S00011–S00012 | Applicability period 10–16 December 2022 (Artículo Primero) |
| D0003 | EF-E71175c4b22c3 | block 2 | S00001 | IEPS stimulus percentages by fuel (26.96% / 0.00% / 59.77%) |
| D0004 | EF-E5f02d2c14a2d | block 2 | S00002–S00003 | Stimulus amounts pesos/litro ($1.4803 / $0.0000 / $3.6071) |
| D0005 | EF-Ed453d3946dc0 | block 2 | S00004–S00005 | Reduced IEPS cuota pesos/litro ($4.0114 / $4.6375 / $2.4283) |
| D0006 | EF-Eb0c3a683f23c | block 2 | S00005–S00006 | Complementary stimulus at $0.0000 across all fuels |
| D0007 | EF-E10aa5c1053a9 | block 2 | S00007–S00010 | Entry into force (day after DOF publication); signed 8 Dec 2022 in CDMX by Karina Ramírez Arras, en suplencia del Subsecretario de Hacienda |

Notes preserved on every record: the document is a routine weekly SHCP administrative Acuerdo, not a macro-rule reform; the issuer is the SHCP Unidad de Política de Ingresos No Tributarios (Karina Ramírez Arras, en suplencia), not the President of Mexico, so the source supports 5B.3 (tax-rule administration) and 5B.9 (shock-response, targeted fuel-tax relief) only at the institutional/administrative level. Coverage is one weekly window (10–16 December 2022).
